,ELUSED,DHUSED,HT2,STUSED,WATR,SQFT,NOCC,YRCON,PBA,MFEXP,COOL,FKUSED,ELHT2,FREESTN,ELWATR,ELCNS,NGUSED,CDD65,HDD65,PUBID,ELHT1,HT1,ELCOOL,HWUSED,ELEXP,MFUSED
6296,1,2,2,2,1,114000,0,1998,1,79008.0,1,2,2.0,1.0,1.0,688948.0,2,2987,1798,6297,1.0,1,1.0,2,79008.0,1
6304,1,2,2,2,1,138000,1,2007,25,218237.0,1,1,2.0,1.0,1.0,2242226.0,2,1201,3114,6305,1.0,1,1.0,2,209933.0,1
6308,1,2,1,2,1,7000,1,1966,26,3053.0,1,2,2.0,1.0,1.0,41735.0,2,2037,2355,6309,1.0,1,1.0,2,3053.0,1
6309,1,2,2,2,1,7500,3,1985,15,9813.0,1,2,2.0,1.0,1.0,81856.0,2,2126,1903,6310,1.0,1,1.0,2,9813.0,1
6312,1,2,2,2,1,80000,1,2003,12,144453.0,1,2,2.0,1.0,1.0,1959764.0,1,1139,4386,6313,1.0,1,1.0,2,142379.0,1
6316,1,2,2,2,1,10000,1,1975,18,7160.0,1,2,2.0,1.0,1.0,80612.0,1,1883,2463,6317,1.0,1,1.0,2,5941.0,1
6320,1,2,2,2,1,70000,1,2007,17,248537.0,1,1,2.0,1.0,1.0,2488725.0,2,2068,3864,6321,1.0,1,1.0,2,244146.0,1
6321,1,2,2,2,1,5000,2,1993,13,7042.0,1,2,2.0,1.0,1.0,65671.0,2,1473,3491,6322,1.0,1,1.0,2,7042.0,1
6322,1,2,1,2,1,196000,1,1990,16,772153.0,1,1,2.0,0.0,1.0,8150366.0,1,1967,2285,6323,1.0,1,1.0,2,757695.0,1
6323,1,2,2,2,1,102000,1,2001,2,213756.0,1,1,2.0,1.0,1.0,3033566.0,2,1825,3750,6324,1.0,1,1.0,2,207456.0,1
6324,1,2,1,2,1,265000,1,1977,14,395891.0,1,2,2.0,1.0,2.0,3481654.0,1,1393,3496,6325,1.0,1,1.0,2,354008.0,1
6325,1,2,1,2,1,1500000,40,1990,2,2528949.0,1,1,2.0,0.0,1.0,25008776.0,1,1479,3925,6326,1.0,1,1.0,2,2519495.0,1
6332,1,2,2,2,1,2500,1,1976,2,1708.0,1,2,2.0,1.0,1.0,13828.0,2,2917,1876,6333,1.0,1,1.0,2,1708.0,1
6333,1,2,2,2,1,20000,1,1986,16,111460.0,1,2,2.0,1.0,2.0,644600.0,1,921,5866,6334,1.0,1,1.0,2,63493.0,1
