,SQFT,PBA,HDD65,CDD65
653,250000,16,5106,953
654,198000,14,6227,966
655,320000,18,915,4713
656,196000,5,2075,2047
657,146000,16,2154,1067
658,32000,2,4806,913
659,225000,26,5770,491
660,500001,16,2524,2220
661,140000,13,1081,1402
662,800000,16,4377,924
663,150000,17,5846,1055
664,1000000,16,4188,1371
665,99000,16,2909,2060
666,240000,14,5206,1148
667,800000,16,2507,2581
668,100000,13,5229,1095
669,325000,2,1540,3499
670,132000,16,3402,1283
671,1400000,16,5012,1124
672,305000,2,2252,2013
673,20000,4,3949,1074
674,600000,16,4436,1101
675,265000,25,7012,687
676,160000,5,3719,1290
677,38500,26,6946,1036
678,380000,14,4466,1013
679,600000,16,1922,2365
680,255000,14,3438,1632
681,1400000,16,3412,1053
682,495000,16,4767,993
683,465000,16,6577,903
684,380000,2,3515,1589
685,700000,4,4032,938
686,1400000,16,101,3932
687,900000,5,5091,1446
688,700000,16,5031,925
689,470000,18,991,3447
690,210000,2,4560,1067
691,154000,13,6996,616
692,455000,13,4849,1241
693,166000,16,5264,1283
694,600000,5,3371,1430
695,200000,14,5074,950
696,55000,1,5439,804
697,3900,26,6277,739
698,156000,2,6649,531
699,285000,13,2727,60
700,196000,17,4971,1231
701,1400000,13,6061,1128
702,10001,7,2372,2670
703,600000,16,4999,995
704,600000,16,4794,824
705,240000,7,4830,1061
706,200000,16,1135,3673
707,265000,23,5529,914
708,166000,16,2357,1699
709,345000,16,5061,867
710,600000,16,2799,1964
711,225000,16,3298,2048
712,1400000,18,5048,1184
713,118000,4,1645,953
714,126000,14,5057,1216
715,182000,16,2268,2122
716,700000,16,5568,974
717,108000,14,3210,1149
718,600000,16,2970,1505
719,1500000,24,2372,2588
720,600000,18,1248,449
721,102000,14,7525,819
722,67000,17,5100,984
723,430000,16,8725,481
724,104000,2,5292,813
725,275000,16,4488,2028
726,136000,14,4787,1203
727,61000,16,4501,1086
728,92000,14,3948,1238
729,9000,23,3226,1622
730,31000,23,5077,888
731,132000,8,5344,968
732,81000,2,1103,2999
733,320000,16,6201,580
734,60000,23,8944,574
735,455000,16,6066,1383
736,215000,16,7118,450
737,255000,2,2359,2011
738,52000,14,5152,624
739,102000,7,5981,695
740,28500,14,3208,1482
741,400000,14,4646,1184
742,128000,2,5603,1049
743,120000,5,5267,625
744,138000,23,6056,570
745,275000,16,6272,447
746,1600000,16,6736,635
747,500001,16,5211,1241
748,350000,2,6919,587
749,12250,23,6846,567
750,120000,16,864,1495
751,84000,14,5041,1000
752,64000,2,3782,305
753,5600,91,4466,1444
754,500001,16,6108,1024
755,32000,14,4841,1117
756,900000,2,1656,238
757,168000,2,4943,1282
758,205000,18,582,4640
759,19000,23,2760,1659
760,44500,16,2708,628
761,490000,14,6631,588
762,91000,2,6302,543
763,6000,26,4961,1112
764,126000,2,5889,890
765,900000,16,2030,2382
766,140000,16,2734,1600
767,420000,2,5702,801
768,40000,2,5028,1562
769,600000,16,1482,1998
770,275000,2,7352,485
771,20000,7,4885,1106
772,800000,16,3285,1928
773,600000,18,4168,1412
774,450000,2,1062,1012
775,56000,8,3624,1571
776,225000,2,5622,683
777,420000,2,3089,1578
778,3200,23,5606,1006
779,30000,17,1276,2232
780,10000,2,7279,642
781,700000,16,7681,550
782,400000,2,6343,777
783,200001,13,4303,1538
784,186000,16,4854,1615
785,600000,16,1056,2995
786,140000,2,5031,731
787,260000,2,6362,623
788,320000,23,2875,1754
789,220000,16,8015,331
790,114000,17,3775,1219
791,460000,2,1091,633
792,1000000,16,3841,1554
793,1500000,16,4067,1538
794,315000,16,3931,1371
795,350000,2,773,4757
796,1500000,16,2443,2542
797,1500000,16,3314,1962
798,340000,16,5524,875
799,26500,12,1629,1840
800,1400000,16,7466,370
801,114000,16,6789,304
802,285000,16,1980,3275
803,60000,14,4523,1271
804,1000000,16,5103,818
805,76000,23,7948,640
806,51000,8,5917,971
807,104000,16,3427,975
808,600000,2,4159,1478
809,70000,2,7238,482
810,26500,8,5193,1615
811,7500,26,3467,1915
812,100000,2,6330,577
813,1000000,16,5938,906
814,900000,24,498,5589
815,275000,13,7318,508
816,280000,16,2992,2069
817,70000,26,7405,587
818,600000,17,6048,908
819,41500,17,5223,714
820,385000,12,1116,3448
821,350000,8,4866,1196
822,230000,16,1389,440
823,79000,17,556,3672
824,120000,16,4897,781
825,215000,14,5305,1016
826,43500,17,5948,603
827,120000,13,7260,638
828,102000,2,6302,606
829,46000,2,5198,934
830,200000,14,5569,979
831,93000,18,5217,1305
832,800000,16,2291,3084
833,170000,13,6028,437
834,18000,25,2528,1777
835,114000,17,3914,1144
836,325000,91,7516,526
837,114000,8,6294,819
838,330000,16,5677,879
839,7200,23,4950,1408
840,172000,14,6227,586
841,485000,2,2511,226
842,1400000,16,4610,1146
843,435000,16,5252,1067
844,87000,16,2957,1437
845,48500,14,6859,723
846,700000,16,3839,1397
847,50000,2,6043,981
848,370000,2,2843,2168
849,84000,2,7619,559
850,112000,6,6038,494
851,225000,2,5524,1314
852,124000,26,7207,808
853,700000,16,5986,594
854,410000,18,5196,781
855,88000,2,5251,965
856,39500,17,6833,700
857,500000,91,4600,1304
858,140000,16,7223,491
859,700000,16,3108,205
860,1600000,24,6487,558
861,45500,23,4851,1051
862,355000,2,3781,1451
863,500001,16,2847,191
864,170000,18,2418,1383
865,320000,2,782,3707
866,335000,16,1319,3369
867,184000,18,5231,941
868,450000,5,2476,1136
869,5500,26,5738,803
870,500000,16,2648,560
871,184000,4,6412,912
872,700000,18,7047,644
873,164000,5,5156,602
874,900000,16,1929,1650
875,108000,17,5956,701
876,205000,18,4347,1146
877,900000,2,5259,967
878,375000,16,5739,997
879,215000,2,2748,1427
880,126000,8,4397,1470
881,168000,1,4577,1034
882,118000,5,5806,1343
883,245000,14,6738,643
884,66000,5,5230,1097
