,STORIES,TYPEHUQ,TOTHSQFT,TOTCSQFT,HDD65,CDD65
1468,10,2,1313,1050,5490,929
1469,10,2,980,980,2498,2037
1470,10,2,2750,2750,3715,1701
1471,10,3,1043,1043,1123,2073
1472,10,2,765,0,2284,1488
1473,20,2,3085,3085,2628,1947
1474,-2,5,941,941,2808,1833
1475,-2,5,826,0,994,1268
1476,10,2,1125,1125,3500,707
1477,-2,1,0,717,313,4320
1478,10,2,1440,1440,4585,1335
1479,20,2,1042,625,5646,954
1480,20,2,6715,6715,1297,3148
1481,10,2,1401,1401,1908,785
1482,-2,1,902,451,5760,817
1483,-2,4,1232,1232,5185,1150
1484,20,3,1316,1316,2113,3026
1485,20,2,2723,0,2036,255
1486,10,2,1000,0,2497,1938
1487,-2,5,796,159,6987,436
1488,10,2,1360,1360,1943,2821
1489,10,2,1355,1355,513,3804
1490,-2,5,600,600,4686,1333
1491,20,2,3940,3940,5351,968
1492,20,2,2986,2986,1370,2855
1493,10,2,2268,2268,4146,1585
1494,40,2,3854,2382,5556,897
1495,10,2,0,1815,1383,2783
1496,-2,1,600,0,4921,1197
1497,20,3,1034,1034,4624,1400
1498,20,2,2018,2018,3844,1449
1499,-2,1,1159,0,5357,716
1500,20,2,3404,3830,2508,1921
1501,-2,5,425,425,5978,715
1502,10,2,1255,1255,2251,1784
1503,10,2,1199,1199,3812,1479
1504,-2,5,1150,1150,1051,2376
1505,10,2,1555,933,2805,1922
1506,10,2,2385,2385,1932,1883
1507,10,2,2081,2081,4008,469
1508,-2,5,949,949,7742,654
1509,20,2,2152,2152,4646,1348
1510,20,2,1440,1440,4021,1138
1511,10,2,2450,188,5846,798
1512,20,2,2900,2900,1437,2767
1513,10,2,0,1784,536,3748
1514,-2,5,861,0,6004,889
1515,10,2,0,1140,34,5302
1516,10,2,1110,185,661,1668
1517,20,2,2140,2140,6218,806
1518,10,2,1070,0,1899,801
1519,20,2,5448,5989,4590,1330
1520,10,2,1875,429,5272,782
1521,10,2,1310,0,6385,710
1522,-2,5,687,687,272,4654
1523,40,2,3798,3398,6532,779
1524,10,2,2700,0,1175,3369
1525,10,2,2050,2050,2398,2431
1526,20,2,2996,2567,6480,830
1527,10,2,760,380,1631,2592
1528,-2,5,616,616,4695,1264
1529,20,2,2450,1225,6525,716
1530,-2,5,264,264,5061,1284
1531,20,2,3350,0,6124,659
1532,-2,4,1052,0,3624,669
1533,20,2,1680,1120,5377,969
1534,10,2,2182,2182,1050,2384
1535,-2,4,774,774,1977,2093
1536,-2,4,833,0,1980,298
1537,10,2,1736,1736,2441,2052
1538,20,2,3096,3096,1031,2530
1539,-2,5,0,0,2860,376
1540,-2,5,1280,1280,1468,2789
1541,10,2,1276,213,2668,2217
1542,10,2,1061,1061,1412,3361
1543,20,2,3056,3056,6583,668
1544,-2,5,720,240,1968,1741
1545,10,2,2078,2078,2012,1566
1546,20,2,1966,0,6248,646
1547,10,2,1536,512,1032,3482
1548,10,2,1600,0,3498,1838
1549,40,2,2425,2025,6237,976
1550,10,2,2760,2335,4763,1238
1551,-2,1,1200,1200,1563,2790
1552,10,2,1224,0,1998,462
1553,10,2,2094,2094,2447,2071
1554,10,2,1296,1296,1168,3387
1555,-2,4,1847,0,5715,897
1556,-2,4,1188,1188,6440,840
1557,10,2,1300,1300,1278,3189
1558,10,3,1696,1696,3494,785
1559,20,2,3744,2072,6871,500
1560,10,2,1050,1050,1714,3619
1561,10,2,1886,1886,1625,3022
1562,-2,5,1188,1188,7314,640
1563,-2,5,625,313,4582,1337
1564,-2,4,1184,474,5563,1064
1565,40,2,3426,0,2323,2059
1566,10,2,3158,2631,4801,1203
1567,20,2,5608,5608,4662,1251
1568,-2,5,552,184,3235,1704
1569,20,2,3831,3831,5500,1115
1570,10,2,1829,457,2473,1980
1571,10,2,1862,1862,3948,1245
1572,10,2,1650,1192,6079,745
1573,10,2,702,702,4034,1258
1574,10,2,1344,1344,2752,1992
1575,-2,5,663,166,6660,543
1576,-2,5,0,850,1732,3432
1577,20,2,2388,2388,5221,821
1578,20,2,2777,231,5708,921
1579,20,2,1472,1472,5020,869
1580,20,2,3998,4778,4679,1232
1581,-2,5,1248,832,684,5221
1582,10,2,1232,1232,2571,1812
1583,10,2,4414,4414,6215,659
1584,10,2,1512,1512,3835,1210
1585,-2,4,1080,1080,3854,1429
1586,10,3,1012,1012,1085,2227
1587,-2,5,1125,563,4491,1530
1588,20,2,2407,2407,4848,1326
1589,10,2,1332,1332,4070,1862
1590,20,2,3848,3224,6057,768
1591,-2,1,312,156,5112,969
1592,20,3,1382,1382,5617,1020
1593,-2,5,976,244,6927,592
1594,20,2,4890,4890,6621,624
1595,10,2,1632,1632,349,4424
1596,10,3,2174,1085,5966,817
1597,20,2,4320,4320,2713,2095
1598,10,2,2205,2205,3947,508
1599,10,3,1055,1055,5257,793
1600,10,2,840,840,905,2798
1601,-2,5,493,247,4523,1534
1602,10,2,2368,2368,46,5261
1603,10,2,1174,1174,1706,3707
1604,10,2,3572,0,7580,422
1605,20,2,2191,2191,6344,698
1606,10,2,1058,1058,865,3228
1607,20,2,1348,1348,1547,3963
1608,20,2,4250,4250,5412,1140
1609,31,3,1802,1802,4620,1377
1610,10,2,1850,264,2357,3042
1611,-2,5,988,988,2069,2946
1612,-2,5,835,167,6207,842
1613,-2,4,803,803,2935,1752
